Date,Category,UAH
2023-03-10 09:41:03.395,Люті пташки,100.0
2023-03-10 09:41:03.467,Люті пташки,500.0
2023-03-10 09:41:03.552,Люті пташки,200.0
2023-03-10 09:41:03.629,Люті пташки,350.0
2023-03-10 09:46:03.702,Люті пташки,50.0
2023-03-10 09:46:03.782,Люті пташки,1000.0
2023-03-10 09:46:03.864,Люті пташки,1000.0
2023-03-10 09:46:03.939,Люті пташки,500.0
2023-03-10 09:51:03.019,Люті пташки,130.0
2023-03-10 09:51:03.101,Люті пташки,300.0
2023-03-10 09:51:03.172,Люті пташки,100.0
2023-03-10 09:51:03.250,Люті пташки,500.0
2023-03-10 09:51:03.339,Люті пташки,500.0
2023-03-10 09:51:03.408,Люті пташки,49.0
2023-03-10 09:51:03.486,Люті пташки,500.0
2023-03-10 09:51:03.566,Люті пташки,60.0
2023-03-10 09:51:03.644,Люті пташки,200.0
2023-03-10 09:51:03.718,Люті пташки,100.0
2023-03-10 09:51:03.799,Люті пташки,100.0
2023-03-10 09:55:03.874,Люті пташки,666.0
2023-03-10 09:57:03.044,Люті пташки,200.0
2023-03-10 09:57:03.113,Люті пташки,500.0
2023-03-10 09:57:03.189,Люті пташки,5000.0
2023-03-10 09:57:03.273,Люті пташки,100.0
2023-03-10 09:57:03.953,Люті пташки,100.0
2023-03-10 10:03:03.348,Люті пташки,1000.0
2023-03-10 10:03:03.431,Люті пташки,500.0
2023-03-10 10:03:03.506,Люті пташки,200.0
2023-03-10 10:03:03.584,Люті пташки,500.0
2023-03-10 10:03:03.663,Люті пташки,100.0
2023-03-10 10:03:03.746,Люті пташки,10.0
2023-03-10 10:03:03.825,Люті пташки,600.0
2023-03-10 10:03:03.905,Люті пташки,200.0
2023-03-10 10:03:03.981,Люті пташки,64.0
2023-03-10 10:09:03.072,Люті пташки,100.0
2023-03-10 10:09:03.137,Люті пташки,300.0
2023-03-10 10:09:03.220,Люті пташки,23.65
2023-03-10 10:09:03.293,Люті пташки,500.0
2023-03-10 10:09:03.372,Люті пташки,200.0
2023-03-10 10:09:03.453,Люті пташки,100.0
2023-03-10 10:09:03.529,Люті пташки,300.0
2023-03-10 10:09:03.606,Люті пташки,300.0
2023-03-10 10:09:03.683,Люті пташки,200.0
2023-03-10 10:14:03.769,Люті пташки,60.0
2023-03-10 10:14:03.845,Люті пташки,400.0
2023-03-10 10:14:03.920,Люті пташки,300.0
2023-03-10 10:14:03.996,Люті пташки,50.0
2023-03-10 10:19:03.025,Люті пташки,1000.0
2023-03-10 10:19:03.078,Люті пташки,2000.0
2023-03-10 10:19:03.102,Люті пташки,300.0
2023-03-10 10:19:03.159,Люті пташки,300.0
2023-03-10 10:19:03.236,Люті пташки,250.0
